,name,alcohol,smoking_area,dress_code,accessibility,price,Rambience,area,parking_lot,rating,food_rating,service_rating,Entre Semana,Sabado,Domingo,American_Express,Carte_Blanche,MasterCard-Eurocard,VISA,bank_debit_cards,cash,American,Armenian,Bakery,Bar,Bar_Pub_Brewery,Breakfast-Brunch,Burgers,Cafe-Coffee_Shop,Cafeteria,Chinese,Contemporary,Family,Fast_Food,Game,International,Italian,Japanese,Mexican,Pizzeria,Regional,Seafood,Vietnamese
28,Carls Jr,No_Alcohol_Served,not permitted,informal,completely,medium,familiar,closed,yes,1.4,1.6,1.6,10:00-23:30;,10:00-23:30;,10:00-23:30;,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,La Posada del Virrey,Wine-Beer,none,casual,completely,high,familiar,closed,valet parking,1.1666666666666667,1.0,1.1666666666666667,09:30-23:30;,09:30-23:30;,09:30-23:30;,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Chaires,No_Alcohol_Served,not permitted,informal,completely,medium,familiar,closed,yes,1.4,1.4,1.4,09:00-22:00;,09:00-22:00;,09:00-22:00;,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Dominos Pizza,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,familiar,closed,yes,1.1666666666666667,1.3333333333333333,1.1666666666666667,10:00-23:00;,10:00-23:00;,10:00-23:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Tortas y hamburguesas el gordo,No_Alcohol_Served,not permitted,informal,no_accessibility,low,familiar,closed,none,0.6,1.0,0.4,10:30-23:00;,10:30-23:00;,10:30-23:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Pizzeria Julios,No_Alcohol_Served,not permitted,informal,partially,medium,familiar,closed,public,1.0,1.4285714285714286,1.4285714285714286,09:00-21:00;,09:30-21:00;,00:00-00:00;,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,shi ro ie,Wine-Beer,section,informal,no_accessibility,high,familiar,open,valet parking,1.2,1.4,1.2,00:00-23:30;,00:00-23:30;,00:00-23:30;,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Hamburguesas saul,No_Alcohol_Served,none,informal,completely,low,familiar,closed,public,0.6666666666666666,0.6666666666666666,0.3333333333333333,08:00-23:30;,08:00-23:30;,08:00-23:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,crudalia,Wine-Beer,section,casual,completely,low,quiet,open,none,1.375,1.125,1.0,01:00-20:30;,01:00-23:30;,01:00-23:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,cafe punta del cielo,No_Alcohol_Served,permitted,formal,completely,medium,familiar,closed,none,1.6666666666666667,1.3333333333333333,1.6666666666666667,19:00-23:00;,19:00-23:00;,19:00-23:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,el pueblito,Wine-Beer,not permitted,informal,completely,medium,familiar,closed,none,1.0,1.2,1.2,09:00-21:00;,09:00-21:00;,09:00-21:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,rockabilly ,Full_Bar,section,informal,completely,low,quiet,closed,none,1.6666666666666667,1.0,1.0,21:00-02:00;,21:00-02:00;,16:00-23:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,VIPS,No_Alcohol_Served,not permitted,casual,completely,low,familiar,closed,yes,1.2,1.0,1.0,00:00-23:30;,00:00-23:30;,00:00-23:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,la parroquia,No_Alcohol_Served,not permitted,informal,partially,medium,familiar,closed,yes,1.0,0.7142857142857143,0.8571428571428571,08:00-22:30;,08:00-15:30;,08:00-13:00;,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,emilianos,Wine-Beer,none,informal,completely,low,familiar,closed,none,2.0,1.6666666666666667,1.6666666666666667,00:00-23:30;,00:00-23:30;,00:00-23:30;,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,tacos los volcanes,No_Alcohol_Served,none,informal,completely,low,quiet,closed,none,1.5,1.25,1.25,10:00-23:30;,10:00-23:30;,10:00-23:30;,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Restaurant and Bar and Clothesline Carlos N Charlies,Full_Bar,section,informal,no_accessibility,high,familiar,closed,yes,0.75,0.75,1.0,13:00-23:30;,13:00-23:30;,13:00-19:00;,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,El Oceano Dorado,Full_Bar,permitted,informal,completely,medium,familiar,open,yes,1.3333333333333333,1.6666666666666667,1.3333333333333333,00:00-00:00;,00:00-00:00;,00:00-00:00;,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Subway,No_Alcohol_Served,not permitted,informal,no_accessibility,low,familiar,closed,public,1.4285714285714286,1.1428571428571428,0.5714285714285714,00:00-23:30;,00:00-23:30;,00:00-23:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,El Rincon de San Francisco,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none,1.3333333333333333,1.0,1.3333333333333333,18:00-23:30;,14:00-23:30;,00:00-00:00;,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Restaurant Orizatlan,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none,1.1666666666666667,1.5,1.0,08:00-22:00;,08:00-23:00;,08:00-19:00;,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,La Virreina,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none,1.3333333333333333,1.1666666666666667,1.0,13:00-23:30;,13:00-23:30;,13:00-19:00;,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Preambulo Wifi Zone Cafe,No_Alcohol_Served,none,informal,no_accessibility,medium,quiet,closed,none,1.4285714285714286,1.2857142857142858,1.4285714285714286,00:00-00:00;,00:00-00:00;,00:00-00:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Cafeteria y Restaurant El Pacifico,Wine-Beer,section,informal,no_accessibility,medium,familiar,closed,public,1.1818181818181819,1.0909090909090908,1.0909090909090908,07:00-23:30;,07:00-23:30;,07:00-23:30;,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
52,Michiko Restaurant Japones,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none,2.0,2.0,1.5,13:30-23:00;,13:30-23:00;,13:30-19:00;,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,El Mundo de la Pasta,No_Alcohol_Served,section,informal,no_accessibility,high,familiar,closed,yes,1.5,1.5,1.5,13:30-23:30;,13:30-23:30;,13:30-18:30;,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Restaurant de Mariscos de Picon,No_Alcohol_Served,section,informal,no_accessibility,low,familiar,closed,yes,1.2857142857142858,1.1428571428571428,0.8571428571428571,10:00-20:00;,10:00-20:00;,10:00-20:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Luna Cafe,Wine-Beer,none,informal,no_accessibility,medium,familiar,closed,none,1.2222222222222223,1.1111111111111112,0.8888888888888888,00:00-00:00;,00:00-00:00;,00:00-00:00;,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Restaurant Oriental Express,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none,1.1111111111111112,1.1111111111111112,0.8888888888888888,11:00-21:30;,11:00-21:30;,11:00-21:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,pizza clasica,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none,0.75,1.0,1.0,00:00-00:00;,00:00-00:00;,00:00-00:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
58,Restaurant Wu Zhuo Yi,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none,1.25,1.25,1.0,13:00-22:30;,13:00-22:30;,13:00-22:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Restaurante El Reyecito,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,yes,1.3333333333333333,1.1666666666666667,0.8333333333333334,08:30-21:00;,08:30-21:00;,08:30-21:00;,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Restaurante Bar Fu-hao,Wine-Beer,none,informal,no_accessibility,high,familiar,closed,yes,0.8,1.2,1.2,11:00-22:30;,11:00-22:30;,11:00-22:30;,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Restaurante de Mariscos la Langosta,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none,1.25,0.75,1.25,12:00-20:00;,12:00-20:00;,12:00-20:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,La Cantina Restaurante,Full_Bar,none,informal,no_accessibility,high,familiar,closed,none,1.3333333333333333,1.1111111111111112,1.1111111111111112,08:00-23:30;,08:00-23:30;,08:00-23:30;,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,La Fontana Pizza Restaurante and Cafe,No_Alcohol_Served,section,informal,no_accessibility,high,familiar,closed,yes,1.4,1.2,0.8,11:00-22:00;,11:00-22:00;,11:00-22:00;,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
64,Restaurante y Pescaderia Tampico,No_Alcohol_Served,none,informal,no_accessibility,high,familiar,closed,yes,1.1428571428571428,1.0,1.1428571428571428,07:00-19:00;,07:00-19:00;,07:00-19:00;,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,la Cochinita Pibil Restaurante Yucateco,No_Alcohol_Served,section,informal,no_accessibility,high,familiar,closed,yes,1.0,1.0,1.0,14:00-22:00;,14:00-22:00;,14:00-20:30;,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,El Herradero Restaurante and Bar,Wine-Beer,section,informal,no_accessibility,medium,familiar,closed,yes,1.0909090909090908,1.1818181818181819,1.0909090909090908,13:00-23:00;,13:00-23:00;,13:00-23:00;,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Restaurante Tiberius,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,public,1.2857142857142858,1.1428571428571428,1.1428571428571428,13:00-23:00;,13:00-23:00;,13:00-23:00;,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Restaurant Bar Hacienda los Martinez,Wine-Beer,section,informal,no_accessibility,medium,familiar,closed,yes,1.5714285714285714,1.4285714285714286,1.2857142857142858,12:00-23:30;,12:00-23:30;,12:00-23:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Restaurante Marisco Sam,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none,1.2,1.0,1.3,11:30-19:00;,11:30-19:00;,11:30-19:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Abondance Restaurante Bar,Wine-Beer,none,informal,no_accessibility,low,familiar,closed,yes,0.42857142857142855,0.7142857142857143,0.8571428571428571,09:00-23:30;,09:00-23:30;,09:00-23:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Restaurante la Cantina,Full_Bar,section,informal,no_accessibility,medium,familiar,closed,yes,0.8,0.6,0.6,13:00-23:30;,13:00-23:30;,13:00-20:00;,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Sushi Itto,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none,1.1666666666666667,1.3333333333333333,1.1666666666666667,13:00-23:00;,13:00-23:30;,13:00-22:00;,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Restaurante Bar El Gallinero,Wine-Beer,section,informal,no_accessibility,high,familiar,closed,yes,1.5,1.5,1.0,09:30-23:30;,09:30-23:30;,00:00-00:00;,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Restaurante la Parroquia Potosina,Wine-Beer,section,informal,no_accessibility,high,familiar,closed,public,1.6666666666666667,1.6666666666666667,1.6666666666666667,07:00-23:30;,07:00-23:30;,07:00-23:30;,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Mariscos El Pescador,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,yes,1.4285714285714286,1.4285714285714286,1.1428571428571428,00:00-23:30;,00:00-23:30;,00:00-23:30;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Koye Sushi,No_Alcohol_Served,none,informal,no_accessibility,high,familiar,closed,none,1.3,1.2,0.9,13:00-22:30;,13:30-22:30;,13:30-22:30;,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Tortas Locas Hipocampo,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,familiar,closed,public,1.3,1.4,0.9,00:00-00:00;,00:00-00:00;,00:00-00:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Mcdonalds Parque Tangamanga,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,familiar,closed,yes,1.0,0.7142857142857143,1.0,08:00-23:00;,08:00-23:00;,08:00-23:00;,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79,Cafeteria cenidet,No_Alcohol_Served,not permitted,informal,no_accessibility,low,quiet,closed,public,1.0,1.1666666666666667,1.0,09:00-16:00;,00:00-00:00;,00:00-00:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,vips,Full_Bar,not permitted,informal,completely,medium,familiar,closed,yes,0.8333333333333334,1.3333333333333333,0.8333333333333334,00:00-23:30;,00:00-23:30;,00:00-23:30;,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,El Rinc�n de San Francisco,Wine-Beer,only at bar,informal,partially,medium,familiar,open,none,1.0,1.0,1.0,18:00-23:30;,18:00-23:30;,18:00-21:00;,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Paniroles,Wine-Beer,not permitted,informal,no_accessibility,medium,quiet,closed,none,1.0,1.25,0.75,08:00-21:00;,08:00-21:00;,08:00-21:00;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
